date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:46	79674/79674	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:45%20GMT	https://luukthe.dev/c/0x720/works/wateetons4.webp	test/luuk-portfolio/luukthe.dev/c/0x720/works/wateetons4.webp	(from https://luukthe.dev/work/wateetons)
02:23:48	69334/69334	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:47%20GMT	https://luukthe.dev/c/0x720/works/wateetons7.webp	test/luuk-portfolio/luukthe.dev/c/0x720/works/wateetons7.webp	(from https://luukthe.dev/work/wateetons)
02:23:48	139806/139806	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:47%20GMT	https://luukthe.dev/c/0x720/works/wateetons1.webp	test/luuk-portfolio/luukthe.dev/c/0x720/works/wateetons1.webp	(from https://luukthe.dev/work/wateetons)
02:23:49	38702/38702	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:49%20GMT	https://luukthe.dev/c/0x850/works/mwdetail.webp	test/luuk-portfolio/luukthe.dev/c/0x850/works/mwdetail.webp	(from https://luukthe.dev/work/mwsolutions)
02:23:50	247352/247352	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:49%20GMT	https://luukthe.dev/c/1200x0/works/mw.webp	test/luuk-portfolio/luukthe.dev/c/1200x0/works/mw.webp	(from https://luukthe.dev/work/mwsolutions)
02:23:51	95414/95414	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:50%20GMT	https://luukthe.dev/c/0x850/works/mwdetail2.webp	test/luuk-portfolio/luukthe.dev/c/0x850/works/mwdetail2.webp	(from https://luukthe.dev/work/mwsolutions)
02:23:52	18201/18201	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:51%20GMT	https://luukthe.dev/docs/barba-with-gsap-reset-scrollsmoother	test/luuk-portfolio/luukthe.dev/docs/barba-with-gsap-reset-scrollsmoother.html	(from https://luukthe.dev/docs)
02:23:53	19411/19411	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:52%20GMT	https://luukthe.dev/docs/barba-with-gsap-using-flip	test/luuk-portfolio/luukthe.dev/docs/barba-with-gsap-using-flip.html	(from https://luukthe.dev/docs)
02:23:54	19821/19821	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:53%20GMT	https://luukthe.dev/docs/darkmode-done-right	test/luuk-portfolio/luukthe.dev/docs/darkmode-done-right.html	(from https://luukthe.dev/docs)
02:23:54	1400/1400	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Sep%202022%2014:52:53%20GMT	https://luukthe.dev/images/docs/barbacontainers.png	test/luuk-portfolio/luukthe.dev/images/docs/barbacontainers.png	(from https://luukthe.dev/docs/barba-with-gsap-reset-scrollsmoother)
02:23:55	19425/19425	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Sep%202022%2014:52:53%20GMT	https://luukthe.dev/images/docs/barba_gsap_html.png	test/luuk-portfolio/luukthe.dev/images/docs/barba_gsap_html.png	(from https://luukthe.dev/docs/barba-with-gsap-using-flip)
02:23:57	44200/44200	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Sep%202022%2014:52:53%20GMT	https://luukthe.dev/images/docs/barba_flip_containers.png	test/luuk-portfolio/luukthe.dev/images/docs/barba_flip_containers.png	(from https://luukthe.dev/docs/barba-with-gsap-using-flip)
